movie_title;critique_attributes;softmax_alpha;accuracy;diversity;serendipity;n_results
The Avengers (2012);['director'];0.5;0.5825621736428502;0.5112197522605288;0.0;2
The Avengers (2012);['genre', 'tag'];0.5;0.48249810407046356;0.5742831972086742;0.2;5
The Avengers (2012);['starring', 'director'];0.5;0.7060432142697676;0.0;0.0;1
The Avengers (2012);['genre', 'tag', 'starring', 'director'];0.5;0.0;0.0;0.0;0
The Avengers (2012);[];1.0;0.5172212086440501;0.6561618980681605;0.2;5
The Avengers (2012);['genre'];1.0;0.5367674220933086;0.6767514081780489;0.2;5
The Avengers (2012);['tag'];1.0;0.45755550186835353;0.6496294089041219;0.4;5
The Avengers (2012);['starring'];1.0;0.49449969471911415;0.6897632722835267;0.2;5
The Avengers (2012);['director'];1.0;0.5825621736428502;0.5112197522605288;0.0;2
The Avengers (2012);['genre', 'tag'];1.0;0.48780163793079845;0.6327217465268322;0.2;5
The Avengers (2012);['starring', 'director'];1.0;0.7060432142697676;0.0;0.0;1
The Avengers (2012);['genre', 'tag', 'starring', 'director'];1.0;0.0;0.0;0.0;0
The Avengers (2012);[];1.5;0.5147874811555365;0.5930357781740123;0.4;5
The Avengers (2012);['genre'];1.5;0.5264623446478652;0.6735446716136904;0.2;5
The Avengers (2012);['tag'];1.5;0.4655273086596984;0.5762846836179689;0.0;5
The Avengers (2012);['starring'];1.5;0.5092351116579306;0.6747199929959836;0.2;5
The Avengers (2012);['director'];1.5;0.5825621736428502;0.5112197522605288;0.0;2
The Avengers (2012);['genre', 'tag'];1.5;0.49411223584372366;0.6078533871428375;0.0;5
The Avengers (2012);['starring', 'director'];1.5;0.7060432142697676;0.0;0.0;1
The Avengers (2012);['genre', 'tag', 'starring', 'director'];1.5;0.0;0.0;0.0;0
Harry Potter and the Sorcerer's Stone (2001);[];0.5;0.5469881489097925;0.57240170053496;0.2;5
Harry Potter and the Sorcerer's Stone (2001);['genre'];0.5;0.5376161109622916;0.5906932209076862;0.4;5
Harry Potter and the Sorcerer's Stone (2001);['tag'];0.5;0.5706091315625129;0.5574099016204644;0.0;5
Harry Potter and the Sorcerer's Stone (2001);['starring'];0.5;0.5471894678303626;0.5482350026578466;0.2;5
Harry Potter and the Sorcerer's Stone (2001);['director'];0.5;0.4933744817787641;0.5789699001647575;0.6;5
Harry Potter and the Sorcerer's Stone (2001);['genre', 'tag'];0.5;0.5978897330334438;0.5347317208690523;0.0;5
Harry Potter and the Sorcerer's Stone (2001);['starring', 'director'];0.5;0.876401216681375;0.0;0.0;1
Harry Potter and the Sorcerer's Stone (2001);['genre', 'tag', 'starring', 'director'];0.5;0.876401216681375;0.0;0.0;1
Harry Potter and the Sorcerer's Stone (2001);[];1.0;0.5669928795394917;0.514416626470396;0.2;5
Harry Potter and the Sorcerer's Stone (2001);['genre'];1.0;0.5822765636166548;0.534694082429761;0.2;5
Harry Potter and the Sorcerer's Stone (2001);['tag'];1.0;0.5706091315625129;0.5574099016204644;0.0;5
Harry Potter and the Sorcerer's Stone (2001);['starring'];1.0;0.5518625998987549;0.5465075616957937;0.2;5
Harry Potter and the Sorcerer's Stone (2001);['director'];1.0;0.4985924798354288;0.5385759381370855;0.2;5
Harry Potter and the Sorcerer's Stone (2001);['genre', 'tag'];1.0;0.5978897330334438;0.5347317208690523;0.0;5
Harry Potter and the Sorcerer's Stone (2001);['starring', 'director'];1.0;0.876401216681375;0.0;0.0;1
Harry Potter and the Sorcerer's Stone (2001);['genre', 'tag', 'starring', 'director'];1.0;0.876401216681375;0.0;0.0;1
Harry Potter and the Sorcerer's Stone (2001);[];1.5;0.5703710403423814;0.5433761921969263;0.0;5
Harry Potter and the Sorcerer's Stone (2001);['genre'];1.5;0.6016333658596598;0.5175067320819633;0.0;5
Harry Potter and the Sorcerer's Stone (2001);['tag'];1.5;0.5706091315625129;0.5574099016204644;0.0;5
Harry Potter and the Sorcerer's Stone (2001);['starring'];1.5;0.5594033687466101;0.5400658681534629;0.0;5
Harry Potter and the Sorcerer's Stone (2001);['director'];1.5;0.493051732735086;0.5734398915805905;0.2;5
Harry Potter and the Sorcerer's Stone (2001);['genre', 'tag'];1.5;0.5978897330334438;0.5347317208690523;0.0;5
Harry Potter and the Sorcerer's Stone (2001);['starring', 'director'];1.5;0.876401216681375;0.0;0.0;1
Harry Potter and the Sorcerer's Stone (2001);['genre', 'tag', 'starring', 'director'];1.5;0.876401216681375;0.0;0.0;1
